"Version & Support","Versie & Support"
"Magento version compatibility","Magento versie compatibiliteit"
"Supported Magento versions","Ondersteunde Magento versies"
"Vendiro version","Vendiro versie"
"Your PHP version","Uw PHP versie"
"This extension is developed by <a href=""https://tig.nl"" target=""_BLANK"">TIG</a>","Deze extensie is ontwikkeld door <a href=""https://tig.nl"" target=""_BLANK"">TIG</a>"
"Extension basic configuration and account information","Extensie basisconfiguratie en accountinformatie"
"Please contact:","Neem contact op:"
"General Configuration","Algemene Configuratie"
"Vendiro Configuration","Vendiro Configuratie"
"Mode","Mode"
"Import orders","Importeer bestellingen"
"Register shipment","Registreer verzending"
"Update inventory","Inventaris bijwerken"
"Select which quantity you want to be updated","Selecteer welke hoeveelheid u wilt dat word bijgewerkt"
"Only use this when you are using Magento version 2.3 or higher","Gebruik dit alleen als uw Magento versie 2.3 of hoger gebruikt"
"Saleable quantity","Verkoopbare voorraad"
"Regular quantity","Normale voorraad"
"Fill in your Vendiro API key.","Vul uw Vendiro API key in"
"Fill in your Vendiro API token.","Vul uw Vendiro API token in"
"Select your default shipping method","Selecteer uw standaard verzendmethode"
"Vendiro Shipping options","Vendiro Verzendopties"
